IdIncident;CarrierDelay;WeatherDelay;NASDelay
13831;612.0;3;64.00
13832;612.0;3;5.00
13833;612.0;3;82.00
13834;1608.0;7;27.00
13835;1608.0;7;18.00
13836;1608.0;7;12.00
13837;1608.0;7;8.00
13838;1608.0;7;91.00
13839;1608.0;7;4.00
13840;1608.0;7;19.00
13841;1608.0;7;28.00
13842;1608.0;7;20.00
13843;1069.0;5;94.00
13844;1598.0;7;19.00
13845;1598.0;7;48.00
13846;1598.0;7;11.00
13847;1598.0;7;42.00
13848;228.0;1;71.00
13849;228.0;1;24.00
13850;228.0;1;68.00
13851;1010.0;5;8.00
13852;1010.0;5;20.00
13853;1010.0;5;11.00
13854;1010.0;5;17.00
13855;2586.0;11;6.00
13856;2586.0;11;54.00
13857;1226.0;5;47.00
13858;1226.0;5;27.00
13859;1226.0;5;0.00
13860;1226.0;5;1.00
13861;1226.0;5;9.00
13862;1226.0;5;7.00
13863;1226.0;5;4.00
13864;1226.0;5;3.00
13865;1226.0;5;6.00
13866;1226.0;5;18.00
13867;1226.0;5;8.00
13868;1226.0;5;122.00
13869;674.0;3;23.00
13870;674.0;3;9.00
13871;674.0;3;25.00
13872;2475.0;10;34.00
13873;2475.0;10;54.00
13874;369.0;2;36.00
13875;369.0;2;32.00
13876;369.0;2;61.00
13877;184.0;1;80.00
13878;184.0;1;16.00
13879;184.0;1;6.00
13880;184.0;1;10.00
13881;184.0;1;47.00
13882;1189.0;5;22.00
13883;1189.0;5;98.00
13884;1189.0;5;328.00
13885;1189.0;5;138.00
13886;1189.0;5;29.00
13887;1189.0;5;77.00
13888;1189.0;5;20.00
13889;1189.0;5;134.00
13890;353.0;2;39.00
13891;354.0;2;36.00
13892;354.0;2;19.00
13893;354.0;2;9.00
13894;354.0;2;198.00
13895;354.0;2;17.00
13896;354.0;2;40.00
13897;354.0;2;43.00
13898;354.0;2;81.00
13899;1023.0;5;66.00
13900;1023.0;5;108.00
13901;1023.0;5;27.00
13902;1023.0;5;74.00
13903;728.0;3;49.00
13904;728.0;3;14.00
13905;728.0;3;12.00
13906;1032.0;5;
13907;1032.0;5;8.00
13908;1032.0;5;20.00
13909;1032.0;5;16.00
13910;1032.0;5;0.00
13911;1032.0;5;6.00
13912;1121.0;5;39.00
13913;1121.0;5;60.00
13914;1046.0;5;57.00
13915;1046.0;5;14.00
13916;1046.0;5;12.00
13917;1046.0;5;128.00
13918;1046.0;5;9.00
13919;1046.0;5;21.00
13920;1046.0;5;35.00
13921;1046.0;5;7.00
13922;1046.0;5;8.00
13923;1046.0;5;16.00
13924;1046.0;5;2.00
13925;1173.0;5;18.00
13926;1173.0;5;13.00
13927;1173.0;5;47.00
13928;1173.0;5;39.00
13929;1173.0;5;238.00
13930;1173.0;5;6.00
13931;1173.0;5;58.00
13932;1173.0;5;66.00
13933;1173.0;5;7.00
13934;1173.0;5;14.00
13935;1173.0;5;8.00
13936;1173.0;5;12.00
13937;1173.0;5;105.00
13938;1173.0;5;122.00
13939;1076.0;5;71.00
13940;1076.0;5;42.00
13941;1076.0;5;27.00
13942;1076.0;5;8.00
13943;1076.0;5;154.00
13944;899.0;4;23.00
13945;899.0;4;69.00
13946;899.0;4;28.00
13947;899.0;4;125.00
13948;474.0;2;92.00
13949;496.0;2;100.00
13950;496.0;2;32.00
13951;399.0;2;16.00
13952;399.0;2;19.00
13953;399.0;2;24.00
13954;399.0;2;97.00
13955;399.0;2;47.00
13956;972.0;4;34.00
13957;1069.0;5;42.00
13958;1069.0;5;346.00
13959;1598.0;7;5.00
13960;1598.0;7;78.00
13961;1598.0;7;9.00
13962;1598.0;7;13.00
13963;1065.0;5;238.00
13964;228.0;1;41.00
13965;228.0;1;15.00
13966;228.0;1;69.00
13967;228.0;1;33.00
13968;1068.0;5;51.00
13969;1068.0;5;137.00
13970;1068.0;5;118.00
13971;1068.0;5;65.00
13972;1068.0;5;52.00
13973;1068.0;5;31.00
13974;2586.0;11;28.00
13975;2586.0;11;35.00
13976;2586.0;11;7.00
13977;2586.0;11;27.00
13978;2586.0;11;13.00
13979;846.0;4;6.00
13980;846.0;4;8.00
13981;846.0;4;47.00
13982;846.0;4;60.00
13983;846.0;4;311.00
13984;846.0;4;13.00
13985;2475.0;10;28.00
13986;2475.0;10;33.00
13987;369.0;2;162.00
13988;369.0;2;14.00
13989;369.0;2;124.00
13990;369.0;2;11.00
13991;937.0;4;173.00
13992;1111.0;5;13.00
13993;1111.0;5;22.00
13994;1111.0;5;10.00
13995;1111.0;5;24.00
13996;1111.0;5;9.00
13997;1111.0;5;7.00
13998;1111.0;5;11.00
13999;1111.0;5;17.00
14000;1111.0;5;39.00
14001;1249.0;5;137.00
14002;1249.0;5;223.00
14003;1249.0;5;81.00
14004;1249.0;5;19.00
14005;1249.0;5;3.00
14006;1249.0;5;78.00
14007;1249.0;5;34.00
14008;1249.0;5;12.00
14009;1056.0;5;235.00
14010;1056.0;5;101.00
14011;1076.0;5;3.00
14012;1076.0;5;63.00
14013;1076.0;5;118.00
14014;1076.0;5;28.00
14015;899.0;4;35.00
14016;899.0;4;2.00
14017;899.0;4;162.00
14018;899.0;4;41.00
14019;899.0;4;116.00
14020;899.0;4;158.00
14021;892.0;4;3.00
14022;892.0;4;9.00
14023;892.0;4;159.00
14024;892.0;4;
14025;892.0;4;8.00
14026;892.0;4;12.00
14027;892.0;4;0.00
14028;892.0;4;7.00
14029;892.0;4;6.00
14030;892.0;4;4.00
14031;892.0;4;16.00
14032;892.0;4;11.00
14033;892.0;4;32.00
14034;892.0;4;83.00
14035;892.0;4;2.00
14036;892.0;4;15.00
14037;892.0;4;10.00
14038;612.0;3;29.00
14039;612.0;3;240.00
14040;612.0;3;41.00
14041;612.0;3;30.00
14042;496.0;2;96.00
14043;496.0;2;13.00
14044;496.0;2;19.00
14045;1011.0;5;49.00
14046;1011.0;5;13.00
14047;1127.0;5;51.00
14048;1127.0;5;12.00
14049;1127.0;5;64.00
14050;1127.0;5;7.00
14051;1127.0;5;95.00
14052;1127.0;5;24.00
14053;1127.0;5;10.00
14054;1127.0;5;2.00
14055;399.0;2;137.00
14056;68.0;1;16.00
14057;1674.0;7;5.00
14058;68.0;1;14.00
14059;68.0;1;13.00
14060;68.0;1;7.00
14061;68.0;1;61.00
14062;68.0;1;33.00
14063;68.0;1;25.00
14064;1674.0;7;7.00
14065;68.0;1;28.00
14066;68.0;1;6.00
14067;68.0;1;9.00
14068;68.0;1;31.00
14069;1674.0;7;2.00
14070;68.0;1;11.00
14071;68.0;1;3.00
14072;68.0;1;15.00
14073;1674.0;7;58.00
14074;68.0;1;27.00
14075;68.0;1;0.00
14076;1674.0;7;31.00
14077;1674.0;7;22.00
14078;1674.0;7;209.00
14079;1674.0;7;32.00
14080;68.0;1;2.00
14081;1674.0;7;3.00
14082;1674.0;7;25.00
14083;1674.0;7;76.00
14084;2248.0;9;40.00
14085;2248.0;9;12.00
14086;395.0;2;19.00
14087;395.0;2;66.00
14088;395.0;2;12.00
14089;395.0;2;17.00
14090;395.0;2;16.00
14091;395.0;2;54.00
14092;395.0;2;27.00
14093;395.0;2;22.00
14094;395.0;2;62.00
14095;2475.0;10;102.00
14096;2475.0;10;53.00
14097;2475.0;10;27.00
14098;324.0;2;144.00
14099;324.0;2;4.00
14100;324.0;2;9.00
14101;324.0;2;7.00
14102;324.0;2;10.00
14103;324.0;2;15.00
14104;324.0;2;16.00
14105;324.0;2;21.00
14106;588.0;3;296.00
14107;266.0;2;1.00
14108;266.0;2;5.00
14109;266.0;2;32.00
14110;266.0;2;15.00
14111;266.0;2;132.00
14112;353.0;2;101.00
14113;354.0;2;145.00
14114;354.0;2;8.00
14115;354.0;2;25.00
14116;354.0;2;42.00
14117;818.0;4;13.00
14118;818.0;4;19.00
14119;818.0;4;64.00
14120;818.0;4;17.00
14121;818.0;4;7.00
14122;818.0;4;111.00
14123;818.0;4;41.00
14124;818.0;4;33.00
14125;818.0;4;20.00
14126;818.0;4;134.00
14127;818.0;4;9.00
14128;818.0;4;18.00
14129;636.0;3;33.00
14130;828.0;4;6.00
14131;828.0;4;19.00
14132;828.0;4;152.00
14133;828.0;4;16.00
14134;828.0;4;9.00
14135;828.0;4;15.00
14136;828.0;4;75.00
14137;899.0;4;56.00
14138;899.0;4;38.00
14139;899.0;4;97.00
