CarrierDelay;WeatherDelay;NASDelay
140.0;1;
862.0;4;136.00
1725.0;7;
2454.0;10;
888.0;4;
2704.0;11;16.00
746.0;3;
622.0;3;
2079.0;9;0.00
2079.0;9;48.00
719.0;3;
305.0;2;
862.0;4;
2615.0;11;
455.0;2;7.00
826.0;4;
760.0;4;
1651.0;7;0.00
733.0;3;
966.0;4;
1452.0;6;
2065.0;9;
846.0;4;
337.0;2;
888.0;4;
1721.0;7;
642.0;3;
862.0;4;
794.0;4;
1504.0;7;16.00
414.0;2;
2486.0;10;
649.0;3;
524.0;3;
414.0;2;
1023.0;5;
867.0;4;
1754.0;8;
628.0;3;
1514.0;7;
337.0;2;
679.0;3;0.00
397.0;2;
1024.0;5;16.00
337.0;2;
2704.0;11;0.00
455.0;2;
116.0;1;
802.0;4;
846.0;4;
867.0;4;
1514.0;7;
1874.0;8;
862.0;4;0.00
977.0;4;
2367.0;10;
391.0;2;
2704.0;11;
337.0;2;
1514.0;7;
1546.0;7;
1005.0;5;
967.0;4;
837.0;4;
733.0;3;
719.0;3;0.00
416.0;2;
2419.0;10;
967.0;4;0.00
775.0;4;
804.0;4;
746.0;3;
862.0;4;
337.0;2;
758.0;4;
2306.0;10;
316.0;2;
2486.0;10;
991.0;4;
2454.0;10;24.00
337.0;2;
2565.0;11;
811.0;4;
1005.0;5;
746.0;3;
1199.0;5;
909.0;4;
2419.0;10;
1024.0;5;0.00
1744.0;7;
888.0;4;
1620.0;7;
846.0;4;
1620.0;7;
1635.0;7;
846.0;4;
1452.0;6;
200.0;1;
804.0;4;
224.0;1;
854.0;4;0.00
337.0;2;
334.0;2;
1012.0;5;
2398.0;10;
404.0;2;
414.0;2;
1546.0;7;
862.0;4;
550.0;3;
1846.0;8;
413.0;2;
2306.0;10;0.00
966.0;4;0.00
1009.0;5;
1091.0;5;
1754.0;8;0.00
406.0;2;
862.0;4;
447.0;2;2.00
2521.0;11;2.00
3365.0;11;55.00
349.0;2;
937.0;4;
2446.0;10;
758.0;4;
628.0;3;
1065.0;5;
1034.0;5;
588.0;3;0.00
305.0;2;
925.0;4;
1440.0;6;
2398.0;10;
937.0;4;
447.0;2;
612.0;3;
651.0;3;
1208.0;5;
1709.0;7;32.00
2338.0;10;
4962.0;11;88.00
4962.0;11;7.00
414.0;2;
811.0;4;
414.0;2;
649.0;3;
1400.0;6;
1201.0;5;
550.0;3;
413.0;2;
2704.0;11;
679.0;3;
646.0;3;
1154.0;5;
1506.0;7;
1620.0;7;
1829.0;8;0.00
4817.0;11;
4817.0;11;
200.0;1;
1023.0;5;
997.0;4;3.00
1400.0;6;
2419.0;10;
1754.0;8;
1024.0;5;
776.0;4;
657.0;3;
888.0;4;
447.0;2;
1597.0;7;0.00
925.0;4;
1605.0;7;
1024.0;5;
1197.0;5;
602.0;3;
3365.0;11;
224.0;1;
2306.0;10;
758.0;4;
2288.0;10;
236.0;1;
236.0;1;
2288.0;10;
1558.0;7;
1956.0;8;
1190.0;5;
854.0;4;
326.0;2;
2704.0;11;
414.0;2;
1943.0;8;
1362.0;6;20.00
1956.0;8;
901.0;4;
1605.0;7;
862.0;4;3.00
692.0;3;
192.0;1;
1123.0;5;
1744.0;7;
246.0;1;
1065.0;5;
622.0;3;
1723.0;7;
534.0;3;
641.0;3;0.00
1597.0;7;
1620.0;7;
937.0;4;
628.0;3;
2398.0;10;
533.0;3;2.00
305.0;2;0.00
775.0;4;
363.0;2;
679.0;3;
2446.0;10;
2358.0;10;
524.0;3;
1703.0;7;0.00
1504.0;7;7.00
1362.0;6;
1635.0;7;
2139.0;9;
2254.0;10;
909.0;4;
1605.0;7;8.00
1781.0;8;
140.0;1;43.00
200.0;1;
937.0;4;
1721.0;7;
1250.0;6;
991.0;4;
2454.0;10;14.00
1005.0;5;
1506.0;7;
1491.0;6;
649.0;3;
1744.0;7;
888.0;4;
1846.0;8;
846.0;4;
967.0;4;
826.0;4;
1635.0;7;1.00
888.0;4;
1721.0;7;
2218.0;9;3.00
337.0;2;
1024.0;5;
2306.0;10;
1597.0;7;
689.0;3;0.00
967.0;4;
1546.0;7;
1969.0;8;
1062.0;5;
888.0;4;5.00
3904.0;11;18.00
3904.0;11;
2327.0;10;15.00
2327.0;10;
1190.0;5;11.00
316.0;2;0.00
1440.0;6;
529.0;3;
1012.0;5;
1506.0;7;
853.0;4;7.00
2704.0;11;
606.0;3;
746.0;3;
1723.0;7;
282.0;2;
612.0;3;
334.0;2;
602.0;3;
641.0;3;
811.0;4;
1009.0;5;0.00
2446.0;10;
2565.0;11;
2253.0;10;
853.0;4;
334.0;2;
925.0;4;0.00
2253.0;10;
334.0;2;
2419.0;10;
588.0;3;
746.0;3;
1558.0;7;0.00
967.0;4;
1846.0;8;
337.0;2;
588.0;3;
758.0;4;
334.0;2;
4243.0;11;
4243.0;11;
1969.0;8;
679.0;3;
1846.0;8;0.00
679.0;3;52.00
2565.0;11;
2565.0;11;
2565.0;11;
192.0;1;
679.0;3;
372.0;2;
2288.0;10;
2704.0;11;
337.0;2;
137.0;1;
1005.0;5;
550.0;3;
1222.0;5;0.00
1065.0;5;
3801.0;11;
3801.0;11;15.00
1605.0;7;
1504.0;7;
846.0;4;
651.0;3;
447.0;2;
447.0;2;
733.0;3;
1222.0;5;
692.0;3;
651.0;3;
2704.0;11;
2434.0;10;
651.0;3;
2434.0;10;
746.0;3;
996.0;4;
1041.0;5;
646.0;3;
2218.0;9;
678.0;3;
631.0;3;0.00
708.0;3;
631.0;3;90.00
1635.0;7;
1120.0;5;
1874.0;8;
1154.0;5;
2704.0;11;
447.0;2;
1068.0;5;
2704.0;11;
200.0;1;
2454.0;10;
191.0;1;
1969.0;8;
1651.0;7;
853.0;4;
1120.0;5;
888.0;4;
1065.0;5;
1025.0;5;
1208.0;5;
1723.0;7;19.00
733.0;3;
862.0;4;
2253.0;10;
1416.0;6;
2227.0;9;
746.0;3;
811.0;4;
811.0;4;
628.0;3;
2434.0;10;
2434.0;10;
337.0;2;
744.0;3;
657.0;3;
108.0;1;
1303.0;6;
678.0;3;
837.0;4;
108.0;1;
802.0;4;
802.0;4;
316.0;2;
108.0;1;
733.0;3;0.00
337.0;2;
925.0;4;
802.0;4;
588.0;3;
1182.0;5;
1744.0;7;
719.0;3;
1723.0;7;
1012.0;5;
363.0;2;
760.0;4;
2218.0;9;
861.0;4;
191.0;1;
1726.0;7;
1781.0;8;
646.0;3;
1739.0;7;
108.0;1;
862.0;4;
1005.0;5;
1514.0;7;
925.0;4;
137.0;1;
802.0;4;
1464.0;6;0.00
1120.0;5;
1846.0;8;
1346.0;6;
2425.0;10;
451.0;2;0.00
679.0;3;
2565.0;11;19.00
235.0;1;
246.0;1;
1346.0;6;
1303.0;6;
925.0;4;1.00
901.0;4;
266.0;2;
733.0;3;
2402.0;10;
372.0;2;
802.0;4;0.00
966.0;4;
1346.0;6;
372.0;2;
964.0;4;
964.0;4;
116.0;1;
483.0;2;
404.0;2;
1005.0;5;
804.0;4;
1062.0;5;
1620.0;7;
719.0;3;
955.0;4;0.00
2338.0;10;
413.0;2;
1452.0;6;
602.0;3;
140.0;1;0.00
305.0;2;
1514.0;7;0.00
2521.0;11;
925.0;4;
2400.0;10;
1829.0;8;
2585.0;11;
140.0;1;
864.0;4;0.00
468.0;2;
404.0;2;0.00
1504.0;7;
948.0;4;
1400.0;6;
955.0;4;
1182.0;5;
680.0;3;
2454.0;10;
316.0;2;
925.0;4;
1222.0;5;
956.0;4;
299.0;2;
191.0;1;
264.0;2;
1167.0;5;
191.0;1;
224.0;1;
1182.0;5;
191.0;1;
1476.0;6;
854.0;4;
641.0;3;
140.0;1;
966.0;4;
1303.0;6;
1416.0;6;
1379.0;6;
1346.0;6;
140.0;1;
1416.0;6;
1303.0;6;
1464.0;6;45.00
1235.0;5;
964.0;4;
224.0;1;
1290.0;6;
472.0;2;
1609.0;7;7.00
86.0;1;
305.0;2;
1009.0;5;0.00
1085.0;5;
86.0;1;0.00
2288.0;10;
895.0;4;
1416.0;6;
862.0;4;
337.0;2;
395.0;2;
964.0;4;
1182.0;5;
1085.0;5;
1943.0;8;
1607.0;7;0.00
329.0;2;
787.0;4;
1182.0;5;
1943.0;8;
2521.0;11;
2457.0;10;
200.0;1;
1195.0;5;
1969.0;8;
2457.0;10;
1635.0;7;
776.0;4;
550.0;3;
550.0;3;
158.0;1;
2393.0;10;
550.0;3;0.00
862.0;4;
862.0;4;
2288.0;10;
200.0;1;
2442.0;10;0.00
1597.0;7;
200.0;1;
2565.0;11;
925.0;4;
2442.0;10;
1605.0;7;
2454.0;10;
966.0;4;
1744.0;7;
2548.0;11;
1400.0;6;
2556.0;11;
1034.0;5;
819.0;4;
550.0;3;
967.0;4;
937.0;4;
794.0;4;0.00
937.0;4;0.00
1222.0;5;
1062.0;5;
837.0;4;
108.0;1;
191.0;1;
1571.0;7;
1571.0;7;
679.0;3;
1416.0;6;
191.0;1;
447.0;2;
1620.0;7;
224.0;1;0.00
1514.0;7;
1162.0;5;
733.0;3;
758.0;4;
236.0;1;
1167.0;5;199.00
2565.0;11;
888.0;4;
1739.0;7;
1726.0;7;
811.0;4;
719.0;3;
1744.0;7;
588.0;3;
1440.0;6;
2288.0;10;
1635.0;7;
719.0;3;
2072.0;9;
719.0;3;
964.0;4;
212.0;1;
2565.0;11;
708.0;3;
1781.0;8;
1372.0;6;
1068.0;5;
1065.0;5;490.00
1379.0;6;
997.0;4;
1068.0;5;
853.0;4;
